Category,BodyType,Animation,AttemptedPath,Error
"feet","child","slash","No LPC data found for feet/child","No sprite data available"
"feet","teen","walk","No LPC data found for feet/teen","No sprite data available"
"feet","teen","hurt","No LPC data found for feet/teen","No sprite data available"
"feet","teen","idle","No LPC data found for feet/teen","No sprite data available"
"feet","teen","shoot","No LPC data found for feet/teen","No sprite data available"
"feet","teen","slash","No LPC data found for feet/teen","No sprite data available"
"head","male","walk","No LPC data found for head/male","No sprite data available"
"head","male","hurt","No LPC data found for head/male","No sprite data available"
"head","male","idle","No LPC data found for head/male","No sprite data available"
"head","male","shoot","No LPC data found for head/male","No sprite data available"
"head","male","slash","No LPC data found for head/male","No sprite data available"
"head","female","walk","No LPC data found for head/female","No sprite data available"
"head","female","hurt","No LPC data found for head/female","No sprite data available"
"head","female","idle","No LPC data found for head/female","No sprite data available"
"head","female","shoot","No LPC data found for head/female","No sprite data available"
"head","female","slash","No LPC data found for head/female","No sprite data available"
"head","child","walk","No LPC data found for head/child","No sprite data available"
"head","child","hurt","No LPC data found for head/child","No sprite data available"
"head","child","idle","No LPC data found for head/child","No sprite data available"
"head","child","shoot","No LPC data found for head/child","No sprite data available"
"head","child","slash","No LPC data found for head/child","No sprite data available"
"head","teen","walk","No LPC data found for head/teen","No sprite data available"
"head","teen","hurt","No LPC data found for head/teen","No sprite data available"
"head","teen","idle","No LPC data found for head/teen","No sprite data available"
"head","teen","shoot","No LPC data found for head/teen","No sprite data available"
"head","teen","slash","No LPC data found for head/teen","No sprite data available"
"arms","male","walk","No LPC data found for arms/male","No sprite data available"
"arms","male","hurt","No LPC data found for arms/male","No sprite data available"
"arms","male","idle","No LPC data found for arms/male","No sprite data available"
"arms","male","shoot","No LPC data found for arms/male","No sprite data available"
"arms","male","slash","No LPC data found for arms/male","No sprite data available"
"arms","female","walk","No LPC data found for arms/female","No sprite data available"
"arms","female","hurt","No LPC data found for arms/female","No sprite data available"
"arms","female","idle","No LPC data found for arms/female","No sprite data available"
"arms","female","shoot","No LPC data found for arms/female","No sprite data available"
"arms","female","slash","No LPC data found for arms/female","No sprite data available"
"arms","child","walk","No LPC data found for arms/child","No sprite data available"
"arms","child","hurt","No LPC data found for arms/child","No sprite data available"
"arms","child","idle","No LPC data found for arms/child","No sprite data available"
"arms","child","shoot","No LPC data found for arms/child","No sprite data available"
"arms","child","slash","No LPC data found for arms/child","No sprite data available"
"arms","teen","walk","No LPC data found for arms/teen","No sprite data available"
"arms","teen","hurt","No LPC data found for arms/teen","No sprite data available"
"arms","teen","idle","No LPC data found for arms/teen","No sprite data available"
"arms","teen","shoot","No LPC data found for arms/teen","No sprite data available"
"arms","teen","slash","No LPC data found for arms/teen","No sprite data available"
